ASN_config_jogging_bfnd	ASN_config_jogging_find
6359	20458
9075	18996
10925	25412
8165	33340
15957	31355
15370	39356
11920	45225
10332	60055
23956	45329
24241	43078
27571	44192
6852	26993
16489	29819
30625	72215
20844	32486
23727	41170
23365	128797
49645	147952
10948	66642
12822	642757
23953	729572
6457	58006
29900	393781
17051	22105
22170	47158
10381	47850
25924	186407
57591	1100829
18785	1350384
30100	46875
26992	1298200
11718	54162
16486	1334576
11548	60260
16846	1678979
19154	364836
49970	1322060
8285	28641
12477	937148
16922	647964
5639	46902
9649	115657
13174	2126484
16205	49831
13142	1506420
16280	41516
34027	48527
9721	750721
39523	724024
11669	57304
17304	997533
10078	72018
16720	98930
49781	404158
12502	43118
24361	918052
17303	44998
10848	47834
7444	912262
11983	93828
10743	1544137
7959	69594
15974	236680
60556	3792028
15966	81291
16777	4147135
12945	23991
53287	1175829
43613	4099398
29829	83649
9089	1473559
14990	44584
6693	118396
44115	1738058
8627	33566
32716	4686856
8826	19863
9920	2179842
53685	4920270
55358	974787
19271	54522
29173	1128660
47392	2721686
23997	31748
50194	1844110
104418	845715
55860	101048
17925	1300852
22235	431951
89330	1750844
53854	2085913
8904	54986
7509	1063335
32844	4901831
21824	2117804
10239	61408
29095	18247
41394	655864
15974	4738346
13645	18321
18413	38110
19881	1537424
19983	4442383
12439	1515435
16603	4695748
52523	1826086
20002	1877986
10836	2224287
13537	631379
7950	852416
36573	78050
16124	1322517
32121	82937
22566	1709267
20573	41344
17238	139887
13658	48412
57144	1785242
19720	24450
27425	522177
18534	727636
26028	907701
50048	Timeout
7865	16921
11927	410164
12343	19576
25727	86641
20001	642485
11229	31060
37947	108529
10107	47975
9427	4370
6865	31188
22393	83966
10032	109962
50279	1702241
6524	63414
34698	2700920
17922	23736
5853	302332
30078	32409
14360	Timeout
19241	87801
22416	1135089
52589	1263201
37853	3146922
17288	611570
16153	2744243
10253	193420
16630	80582
9948	90208
12532	1009311
11127	69528
8982	45950
52186	402015
