ASN_config_office_bfnd	ASN_config_office_find
3884	14213
6335	13093
5813	14155
8893	8494
13810	3050
11090	14404
11922	11975
5332	38146
4404	42947
6330	46865
12196	38125
6789	31902
5284	4689
12419	31333
7946	38678
5734	66202
6221	42863
5748	12957
13788	18534
10772	45629
4766	19313
3723	16015
5856	39395
9825	69802
9566	98401
4794	10210
3251	26559
3514	119150
5032	49969
10827	27969
5731	53823
3708	109108
6531	42406
9691	31064
8738	20883
15078	21984
6727	72017
6305	20139
12078	40522
3079	24037
11976	58963
9583	46887
13662	6675
5575	11860
7030	14589
7746	30430
3120	9487
7952	133034
6957	43158
4851	27668
9794	48429
9258	29979
3961	14934
13741	42719
17543	62715
8874	61598
3201	59049
1786	87047
7283	67438
10740	33104
4127	103089
9512	45063
5722	6501
6614	7534
8190	40696
4000	98690
7556	49771
13433	42433
16265	33507
3402	34457
14266	88380
13308	77701
9987	61470
11244	28388
9828	43945
6542	87992
2854	14733
4327	180047
10031	32132
11282	33151
7559	5081
11467	37830
4419	11663
8498	75724
2041	13476
4072	8290
6239	73516
2925	15742
6194	33088
7950	7383
6509	27607
6678	31729
7252	47817
14777	50271
7140	30078
8197	43182
30732	101940
13691	51251
8454	10302
5166	20799
11601	27342
4499	31176
7642	3049
7505	42175
8034	3355
6344	37659
28306	8075
9693	437758
8887	25762
4981	17389
11167	80843
13908	38844
3427	29816
6295	1818
3611	65702
10288	25862
6779	23606
20290	34093
5780	31991
14125	8172
6111	37054
7068	4716
10874	1492
7445	14437
3260	43497
13986	10145
16877	150563
6573	19363
8033	41856
11516	48099
6684	105649
6164	2705
17051	63987
3466	26073
4556	27671
8003	12778
13092	7594
4264	13719
8143	79342
14261	78668
7377	30834
7555	86438
7446	20733
7105	84512
13890	27701
9610	46688
9452	12474
8162	33100
6257	18816
7902	88719
5367	120487
20258	23213
4886	82812
11462	11090
4307	21908
9694	55786
7767	151465
8813	30097
9946	20520
9477	21686
8899	24724
12215	62124
7137	27088
14823	93619
2099	13815
14272	61537
11195	115175
9525	50865
2926	13985
7378	99174
7392	40668
7287	65148
2219	46833
6916	3350
5411	26638
5046	183978
5803	64037
2781	10065
3885	46331
11024	32224
13640	68503
10689	7083
6403	30100
4858	12124
4033	51664
7683	30500
5105	43792
13196	16141
13269	18430
5146	110443
10088	51270
5614	5798
23585	71533
14584	24155
7094	1500
19231	33191
5135	33327
7523	335927
7399	130689
3241	8347
16064	23985
7074	67050
6168	22015
13521	12789
5311	88288
5058	26794
4800	11015
5769	193793
7660	102534
8004	43806
11669	45846
3547	69139
12816	10141
3740	5970
4078	76748
6819	24306
3439	37574
3671	76358
5306	2545
7153	60814
7423	5359
19214	30664
7992	78616
7753	9586
9238	186462
10484	16661
12250	42673
7445	23170
7151	20047
13033	4334
5374	37796
5573	100866
6847	35063
6256	31047
9157	8020
12419	90623
4284	97027
3927	22816
10788	99198
7237	69639
3302	9043
5380	55728
15041	9093
8443	183050
4851	63214
8613	24381
5521	56044
8681	102164
5190	40159
3670	11270
9727	21575
6917	39247
10072	35390
10285	25209
7293	47515
7481	11524
2277	71102
10107	34329
8915	26324
14627	97646
5342	11863
6079	94824
10252	55093
5006	96956
4123	25838
4719	17363
3448	29310
4499	13876
12253	35374
12800	3600
14503	26799
16375	16231
8916	16047
8677	39080
11152	33152
11232	6006
4256	34138
8017	21484
4846	60403
4577	3383
13822	8716
4377	67723
5617	43680
7526	31385
6248	23516
10432	28881
9663	51175
3101	13574
12595	6130
5073	24379
6475	44893
10632	63903
6752	10441
4161	8045
15417	53151
4520	3743
15277	226703
5658	9686
3865	27403
12913	19310
7441	8793
6825	66383
14062	7512
5698	225326
4150	209112
9421	109346
4806	16518
3988	14340
9793	26537
11624	29235
6828	23712
11296	135004
8158	5368
5460	37422
6837	65463
6164	68509
5913	66391
13067	23846
9894	45254
8882	6464
1987	50870
2741	24578
4885	51470
21768	18673
8665	22351
4766	35634
8920	53521
7785	29249
6947	15832
9844	230522
3641	120219
4654	89456
7128	63016
2557	51900
5087	67889
3475	59588
15295	24905
4412	113643
16461	6794
4761	7537
4835	30371
4580	50543
7545	11038
4224	36178
20888	9846
12572	41041
8382	68602
4769	22373
5748	30958
18013	169865
32364	78572
15018	61439
10373	59693
2435	7540
5202	89409
7072	77382
3542	34930
33471	23488
12399	13979
9669	8728
4561	40568
3075	31957
6612	19454
3527	2510
7044	157281
6394	109100
5305	54086
5634	192632
13499	15067
10818	40806
3175	154496
4743	41317
6851	12141
2169	24422
4887	8159
10554	26518
3221	41320
12285	35838
2585	10410
3492	90580
4323	44561
5930	5522
7138	42098
9364	160122
13791	12148
6085	32123
7314	7854
10366	31338
5043	58381
2631	59259
8942	58822
12328	243064
7460	59027
9061	213884
4768	21057
6494	44068
7768	47984
3104	5473
10980	19964
10886	11237
9267	23697
5402	56106
12898	157817
11056	14318
8885	23890
3278	42732
17690	44960
7675	107503
12392	59243
3259	7030
8791	5213
6111	25096
3532	29070
7557	185609
11582	83081
7224	39064
3553	143009
4891	17665
6001	10475
7187	17301
6710	82543
5518	11874
23662	30436
9425	11572
25635	9763
11247	5918
6298	31887
5601	14315
8154	60150
5472	68526
12567	24002
7058	16145
4418	62075
14400	31078
21804	206942
9450	12306
14667	8723
12180	38097
7255	8926
7821	16972
3710	59835
14631	110874
23045	53216
18097	12400
11738	27970
5532	55146
7165	54763
12736	22577
4889	8105
6595	4830
6667	51306
10242	41841
2872	66001
8895	50411
9395	59963
7376	12520
6946	105521
4226	27084
3811	45394
2261	9260
5815	27972
4522	83177
12192	109372
10006	20434
3714	82034
4490	94804
3583	150564
5529	25418
5831	76521
2624	78996
10831	31040
8213	101542
12456	37785
6902	51169
4196	139646
7360	71754
3995	109551
7008	228601
7055	28423
16968	23688
2360	170495
4892	46478
3721	10753
6344	7756
3335	4265
3612	41464
2948	57827
3457	8256
4706	50298
6738	79331
4188	75455
8119	81525
6925	4726
18713	49440
18991	17819
4429	54591
7300	82668
7098	54266
5646	22959
14919	91676
2515	111710
11451	18210
7236	91326
3769	58974
5105	56412
4994	531674
8285	41134
7716	15196
10644	280896
7869	16327
10679	79096
19732	43892
15006	17015
9524	52597
10625	108593
4174	19112
9726	25785
7574	112228
8453	63122
8134	18429
5985	37110
4633	31351
17436	27841
13588	15579
5377	140944
3287	238648
3983	35881
20591	6368
4265	60231
9256	12876
11705	4968
8931	14543
14582	22428
4920	40250
2809	8232
4794	98419
3295	7807
10747	32005
3030	69279
8845	16792
8195	54100
6316	3933
3944	20352
5921	54816
16242	16464
6887	23702
6128	38098
4903	39162
4418	101364
9753	15206
15077	23150
1910	18518
4581	15283
14946	61273
5735	7845
4042	28370
10517	79982
4006	20382
6607	18866
4921	205138
16649	7054
5501	33629
8722	32666
6164	58859
10495	29889
5663	31991
6981	105348
11729	5979
18198	36912
3399	32187
11139	272310
3469	70041
8241	13338
8930	97653
4081	167673
5853	4290
5089	18495
13202	64843
6214	36561
6307	33057
6303	51043
12304	6292
6091	13347
3702	49473
4428	15065
4862	108770
7016	14261
4842	12569
7616	59545
13716	25704
9838	26249
6656	109723
3336	11198
7677	31276
6424	18858
6215	88539
7847	57847
4448	63428
3584	60166
4829	18151
7193	80750
9237	4702
2873	10652
7538	68606
5921	51431
3075	90331
2368	13562
17497	59029
4558	60475
3551	255301
8446	5883
9761	121451
5848	7850
12006	4522
6543	109858
2106	30961
14043	21188
2704	37463
9859	49677
3229	30622
2942	18250
15031	18697
9702	105503
3753	5735
4229	24346
4439	120189
11763	73347
26460	12336
11041	37333
7832	48115
16033	123332
2361	77994
8145	126960
6269	72611
13669	49189
12776	146255
4468	78985
11369	56899
6925	8111
4323	50543
6135	48474
6877	25711
2093	28572
10422	33338
4341	18775
14366	15173
10950	19443
3670	28480
11087	154116
14130	45100
9089	129934
7780	18754
5589	134863
8638	21754
5431	86522
10813	10677
2812	28839
3634	69801
14171	13370
3083	53243
11950	31042
8094	50186
5771	112320
11538	115291
4311	12819
5164	10165
8581	47543
4118	52654
7224	4973
10489	32150
3007	30018
13428	55740
5740	91387
10977	40506
10383	274582
13635	12101
9136	5553
7111	9729
2742	54434
4902	4588
11809	108408
3731	40287
6746	21720
11084	37147
6203	67522
10601	66944
3972	52549
5641	18142
5883	6051
4906	9522
8534	20887
13410	22246
11788	17447
5260	11701
4584	38109
9291	5749
6106	38530
7063	70672
3865	56685
9049	26178
10629	20377
19248	10491
5495	2821
10906	88502
19428	78411
6062	18730
4220	23580
7208	29820
16604	25688
5197	38546
8236	12881
4523	47562
3007	35667
8496	7086
4506	54811
5466	39031
6305	43055
6514	94682
6248	7787
5440	65483
2299	17362
3998	18360
5226	103545
7781	103627
10223	51374
7250	11360
3695	79154
2579	13655
13850	46736
8646	6630
3864	94409
9167	18358
2285	26466
12432	31174
8469	23208
9092	37139
5035	74666
15965	27014
10938	15636
9151	734
5637	18126
27794	24290
4396	38255
2810	16366
6363	128097
5552	44715
11524	73609
4626	210909
6913	12271
4951	27375
9915	5896
5118	72078
9565	26411
13429	33934
4409	32955
2239	43325
9724	53531
12202	54509
5118	38496
9216	29024
13234	56970
10200	60314
11011	12459
9424	65184
10441	63431
4720	47604
10652	7714
5601	66441
6708	30810
10736	51634
6951	78746
4707	8577
4965	9690
5806	74462
3008	59062
8797	432013
5946	30440
8402	31127
5856	55955
6571	44131
6556	10374
9363	39854
8697	81643
5941	1661
3570	33721
2393	22209
9856	8535
10664	47888
6655	3023
9665	25477
11495	20410
13022	62853
4641	38980
6836	165050
4395	68519
28413	11346
8112	2163
6963	25014
6124	199661
3502	49105
8293	21284
21034	37616
4411	120483
7292	26839
10480	95038
18052	29440
13446	127377
13478	62476
6917	92216
9614	116549
4923	4721
12916	53639
12567	48443
3997	89608
13129	16082
4053	15672
14756	276112
19367	41446
11766	50313
4792	81275
8428	46124
3392	8602
7254	23624
3400	71403
4907	8485
7809	18176
11265	15855
13466	67329
6362	32006
14116	56498
10806	49556
6446	11176
24198	33594
1834	18743
5559	30090
12876	97258
10156	15619
4965	175324
7799	13221
3446	6832
2336	18844
7952	31815
7834	45428
6274	24744
10607	6200
4571	79496
9587	16446
12683	81265
12824	34012
9305	32258
8124	48366
3195	62362
19693	2934
17308	7608
5909	166865
6755	90664
5878	42438
6987	56776
9726	11351
19202	47308
13640	83624
6180	55773
5337	19301
7124	95541
6336	87852
5529	8504
4109	7300
5733	145812
6957	9213
9919	2169
9148	49003
10754	47357
14802	11426
3095	188605
4107	21171
8019	10879
7911	23673
4815	53406
4480	155319
8124	30858
7933	8614
5015	39523
6753	66700
3853	5492
11993	14647
2620	34480
15153	18160
3693	24519
11626	22152
5636	58404
7117	60893
6945	94231
4352	7542
5715	99088
6009	3283
5391	13770
10810	16373
3652	58349
2116	36655
6781	19286
6790	7104
5035	32852
5450	46829
10967	36711
5828	34752
9262	63451
17153	28986
14962	23609
7231	16183
9661	15807
7212	49197
7186	87159
10027	22109
4817	72040
4164	153949
6493	26345
4504	82802
12017	61472
8008	16005
2267	29718
3814	16203
5018	8795
4719	25488
8719	137054
20211	83164
4446	8759
11014	13156
10497	42450
4544	150935
7420	77579
6634	61538
14797	48664
4417	24586
7088	18714
3799	45120
4517	54552
2827	48876
3837	22880
3581	26861
4303	72389
13242	36216
2065	63803
5793	48973
10729	95453
3457	13397
3959	14198
11846	108980
8848	1926
5924	48953
3582	46541
10783	23004
6429	11104
8531	76287
8598	19271
5571	12453
6111	26801
10143	6810
4980	49417
20967	12645
7734	39709
7028	43679
17182	161659
4140	204885
6042	15470
14939	25536
3577	18341
1647	26575
3715	1597
2324	4160
14009	8261
17851	38858
8474	31326
7107	109407
5700	122240
5209	51830
5159	20551
11179	105920
5954	16747
4216	9251
16560	72695
4488	17769
9153	69653
10733	72377
5032	15139
11218	7328
3974	30162
7282	10638
8765	9611
14298	34554
3214	31629
5302	81387
12003	25983
9159	67503
8182	84444
13799	605374
5802	133717
13648	158361
13390	808998
17975	174879
8663	317620
