ASN_config_stairs_bfnd	ASN_config_stairs_find
1833	1077
4720	2846
7786	3614
6351	4162
5870	5763
8327	2348
9370	6641
3577	9742
9091	8554
4982	9547
3787	17857
13181	6385
2056	2810
12797	10564
6460	3017
4258	15280
12567	11702
13355	10592
22667	5340
6387	4580
3903	4486
9006	8740
6363	4845
4960	8086
9765	3751
3015	2214
7511	19647
3864	7482
7745	7264
4286	14845
8974	1191
5052	4034
3456	30801
9130	3499
14165	6103
11093	6212
7823	3903
6001	9044
7226	5162
2002	8312
6300	4353
7432	11733
12210	14899
10891	3507
7524	5471
2406	3509
8388	730
2216	7195
13687	6568
8230	13826
14329	2948
5356	4588
11597	12124
6944	6696
23876	15004
11760	8430
10837	6457
12093	6471
16309	17189
7522	4880
7798	8013
5483	6865
10397	6019
17847	6382
8557	8608
10412	9361
8721	27188
6371	4123
13597	5962
7548	6484
7875	1984
8481	2028
9639	833
2890	13393
8162	9301
7255	15626
8792	10599
2927	9493
11919	6010
12746	14107
3541	7062
7858	3303
6175	16004
11788	8692
8520	7351
6317	13032
3028	7421
4883	6970
10839	19822
7560	6369
7252	11455
7593	6556
5731	12429
11613	6466
20250	2138
7027	1812
4273	2622
6936	9649
7306	12762
10091	9088
4973	4323
25844	1858
4509	5456
3316	12817
7017	5919
10614	3739
6127	3616
3347	3903
5389	2749
5912	11115
6556	7165
4125	6922
5593	4041
6593	7389
28017	2813
12504	2527
42989	7632
7392	11049
6207	3613
9094	2363
30060	10003
4378	3264
9394	6323
4225	6014
3722	15065
5597	11153
7416	10814
15762	1958
10208	13363
4414	3403
10989	4603
5005	6025
7833	6157
11121	9492
7191	18422
7766	18989
4427	3284
8848	17173
4939	5839
4359	12212
7555	3891
12037	8401
9575	3513
10854	3539
13147	4913
3812	7956
13670	4238
10161	1749
4489	8021
3531	12056
11019	8325
3538	1135
3889	7367
10633	7250
10012	5563
5672	8096
5713	16256
4250	18449
16061	4188
10041	6270
6059	14124
5778	5006
15152	7868
3113	4861
9746	21158
9063	13492
6674	14022
6082	4552
1739	8614
23338	6755
13839	8552
12001	14037
5561	22269
10932	7772
7824	5893
2543	4567
10679	7576
10304	10119
5890	8071
8680	21986
9775	7393
5645	3649
14020	7202
3941	7828
8197	2539
3829	2644
9659	8170
11925	1672
3654	8214
17844	30900
5917	2594
2968	14793
6183	8178
12858	3142
9947	8536
11866	12476
8737	2808
5093	4721
7842	6806
3487	341
13001	10928
5155	3786
12325	4237
9528	3288
1885	20003
10196	7490
3974	4181
12933	2577
16665	6384
9378	9330
13523	24002
14839	7476
10292	3868
9971	2975
8088	17594
8996	4549
6105	9747
