ASN_config_washer_bfnd	ASN_config_washer_find
881515	916672
881935	911799
914972	892869
933845	960772
886325	1259571
901290	1056838
904387	1266751
881972	1280829
889791	1085551
879486	1300080
879330	1815781
895174	921042
883885	960069
879929	1251326
885650	1173692
894218	1316024
900588	3790105
885099	1103500
884179	1247198
879457	896699
891481	3895739
881183	1753413
880668	Timeout
893445	Timeout
60211	1689909
67160	1740213
58162	1717525
897848	1335408
896273	1530537
884121	3831943
898211	1094506
885595	1800189
911158	1771535
953012	4464732
889524	1340550
878674	1032989
60647	1698928
889191	1063666
880351	1107625
69711	1687898
908581	1545462
879251	3823788
890146	3930103
880861	970051
890202	936554
878639	1813371
880974	1573078
892377	1000682
886551	4500029
898299	3874948
880579	959976
61117	1727745
892522	1702637
901091	1037382
906838	1785158
888705	1171452
885285	1935667
879340	1828117
881165	1200481
881928	1623992
908840	1215291
881577	1563981
884348	1150705
886567	1264382
887799	4033089
878711	1194814
63905	1716590
892337	3938970
884009	4144306
882480	1116232
887977	3935007
892448	1069614
904355	1910940
879338	1038937
885128	1271488
922979	3779983
880538	1011601
880856	1039235
883685	1582088
883663	4029275
888241	1093311
878991	1222071
883916	1271412
896598	1882876
901176	1858727
897421	1100084
884011	1293597
68610	1747183
879824	1110024
57894	1739916
896045	1247607
887126	3866803
66408	1779672
911354	1051783
58588	1748902
880383	1030812
912782	3863236
59174	1697386
81530	1689858
881992	1157855
881214	1080868
883513	3774424
899427	3871019
882837	3775102
880640	1149909
897014	910614
884101	1089945
879062	4564926
900621	1237703
891416	4229660
881718	1234736
883770	1008631
887188	1337887
914687	1548128
949253	1531822
901577	1944042
942240	1013270
881760	1275876
930791	Timeout
892834	3777247
878637	947225
66628	1718624
68037	1699609
890224	1544464
63122	1690466
894716	Timeout
881390	1099898
68997	1709214
881211	1172857
933231	3842766
939543	4487844
886343	1138320
888721	1161400
880252	4868140
902866	1315858
881885	1305490
59528	1707281
882402	1298273
62972	1702193
56486	1722314
58920	1745249
886481	1085024
882953	1946203
64651	1743595
881426	Timeout
880492	937099
880358	1322352
882048	1198208
881545	4105407
878824	1746050
915574	1590286
885431	1580355
879575	1167412
81657	1722537
56273	1705828
72658	1916090
899940	3925761
75365	1734632
881100	Timeout
885558	Timeout
92099	1729969
903103	1010627
890370	4113793
889472	997373
64233	1752533
890416	1284178
900065	905537
888978	1136062
65437	1783787
904577	4131030
883874	982154
890252	3927288
60647	1715177
890119	922587
71272	1754396
895151	1739468
57353	1712374
920053	1223793
883265	998574
967353	Timeout
881474	1759821
885341	1191223
911221	Timeout
79249	1716320
882384	1722670
60231	1720599
888728	4108191
884220	4115120
880743	Timeout
888127	Timeout
74490	1682942
884859	1693535
962011	3714554
896414	1105049
885275	925226
880421	1044531
884090	Timeout
57541	1708511
58861	1742917
880023	1691761
62666	1742688
880469	1000377
79961	1802474
878707	938557
879311	950396
879117	1217339
889920	1203993
881856	949024
57617	1696564
894172	1050765
883845	991675
900032	Timeout
886755	1631908
880139	1152235
883184	995807
880672	896890
886969	1644877
888814	Timeout
56529	1714779
918806	4640789
898667	1732746
881157	919732
61477	1724449
885547	982710
886634	1079692
879953	1302627
73551	1824710
903846	927007
887835	1112124
883350	921156
885242	4196809
880587	918952
891342	1803774
910930	1843336
897539	1053833
59213	1712592
893521	3951881
882047	4501421
888429	4083590
901521	1585697
975305	1165993
884972	1269069
890769	4027689
878859	1120433
890157	1731375
878593	1010984
886776	4039377
875248	892510
59852	1753750
887687	1615035
879815	1000111
882388	1843106
879583	1577524
906028	3867230
924483	1000285
881354	1012010
61630	1727657
879253	1109831
62413	1789809
882783	3777299
887336	4155615
879427	1091130
878720	1016471
895891	1861371
914634	3749426
892246	942427
942289	1576339
881833	1640108
883589	946045
880754	Timeout
893210	1658376
884421	1542441
69788	1727503
890225	1117683
895590	Timeout
908857	Timeout
884176	897391
59171	1706362
878641	1169659
881407	4252022
69114	1765817
888118	1902475
932758	1075377
884859	1322933
895387	1906166
881325	1290571
907167	3785856
878860	939213
883026	991797
879623	4253753
878618	1117823
881095	995133
881549	1273429
886264	3788097
914839	1314904
880223	938090
883761	1054127
906052	1816422
892866	1211308
878877	933964
884980	4096906
906090	1679024
881285	989635
884598	4825178
886542	1658434
878702	961027
926161	980158
935771	1021520
57834	1723871
891886	4212159
919959	1168029
892807	3985376
883677	895950
886289	3779744
901164	4197997
59696	1730109
878668	1109662
893311	1164111
880488	1077882
62122	1693604
879226	1030484
895653	1528858
65921	1785515
882301	937626
886320	930609
71397	1686930
880274	1085987
882991	1062408
889710	1705445
881993	1563558
879648	1574412
66526	1773595
57388	1742133
884045	3784036
879438	986058
897199	4128676
882362	1329944
879385	4127236
880503	1310125
60456	1730452
894546	1687182
894069	4501796
879102	1553028
57820	1723045
888875	1620329
880858	3997318
58564	1736952
897575	1036892
912895	4222964
879768	1044265
898548	4769647
63966	1718716
66148	1745315
905785	1629326
60886	1739019
892216	939770
878748	1797622
59538	1714277
57881	1738879
879073	3861114
883141	919523
881201	1602976
900913	Timeout
885536	1148334
881076	970197
62861	1753054
880759	959032
60688	1723514
882019	1344796
878665	1221976
889122	1311127
57739	1697012
881968	989906
885304	941170
61085	1693357
883515	922189
884301	1547717
890746	1252483
878921	1702811
882940	1037343
893512	3766557
84899	1739205
904570	4440932
906888	1286319
950885	1574356
906486	1833753
881341	998000
883779	1121969
894242	Timeout
63256	1744462
69501	1862527
57754	1752747
890190	Timeout
885305	927699
64198	1717670
908541	908819
894851	1045461
879270	1025092
880727	4490777
883653	979352
61680	1735958
